price,rooms,lat,lng,square_total,square_living,square_kitchen,type_apartment,ceiling,renovation,view,type_house,floor_type,built_year,energy_efficiency,playground,sportsground,foundation_type,electrical_type,heating_type,hot_water_type,cold_water_type,sewerage_type,gas_type,ventilation_type,firefighting_type,drainage_type,floor_flat,floor_house
7800000,1,55.684777,37.66936,36.2,18.9,6.6,Вторичка,2.64,Косметический,На улицу,Панельный,Железобетонные,1970.0,D,Есть,Есть,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Вытяжная вентиляция,Автоматическая,Внутренние водостоки,3.0,9.0
12700000,1,55.731642,37.565614,32.0,20.0,7.3,Вторичка,2.6,Евроремонт,На улицу,Панельный,Железобетонные,1974.0,Не присвоен,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,6.0,14.0
8495000,1,55.876496,37.490003,34.5,19.5,9.6,Вторичка,2.48,Косметический,Во двор,Монолитный,Железобетонные,1985.0,B,Есть,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,11.0,16.0
10500000,1,55.717452,37.749463,42.1,18.0,11.0,Вторичка,2.64,Дизайнерский,Во двор,Панельный,Железобетонные,2008.0,Не присвоен,Отсутствует,Отсутствует,Свайный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,11.0,23.0
8000000,1,55.876632,37.544782,34.6,19.9,9.4,Вторичка,2.64,Косметический,Во двор,Блочный,Железобетонные,1967.0,C,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,9.0,12.0
8700000,1,55.79225,37.812588,38.0,19.0,8.0,Вторичка,2.6,Евроремонт,Во двор,Панельный,Железобетонные,1983.0,Не присвоен,Есть,Есть,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарный кран,Внутренние водостоки,1.0,17.0
8400000,1,55.598924,37.722352,34.9,19.7,9.6,Вторичка,2.55,Косметический,Во двор,Панельный,Железобетонные,1979.0,C,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,9.0,12.0
8900000,1,55.66523299999999,37.761725,43.0,18.1,9.8,Вторичка,2.83,Без ремонта,На улицу и двор,Монолитный,Железобетонные,2001.0,Не присвоен,Есть,Есть,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,21.0,25.0
8050000,1,55.94081,37.525675,38.0,14.5,10.5,Вторичка,2.7,Евроремонт,Во двор,Панельный,Железобетонные,2018.0,A,Есть,Есть,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,12.0,14.0
10750000,1,55.751335,37.680832,34.6,19.5,9.6,Вторичка,2.48,Косметический,Во двор,Монолитный,Железобетонные,1979.0,B,Есть,Отсутствует,Бетонные столбы,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточная вентиляция,Пожарные гидранты,Наружные водостоки,5.0,16.0
6500000,1,55.70993100000001,37.85453,35.7,20.8,6.0,Вторичка,2.64,Косметический,На улицу,Панельный,Железобетонные,1972.0,Не присвоен,Отсутствует,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,8.0,9.0
9100000,1,55.838314,37.380516,38.1,19.1,6.7,Вторичка,2.64,Евроремонт,На улицу,Панельный,Железобетонные,1992.0,Не присвоен,Есть,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточная вентиляция,Пожарные гидранты,Внутренние водостоки,2.0,17.0
7600000,1,55.767251,37.712758,32.0,22.0,5.5,Вторичка,2.48,Косметический,Во двор,Монолитный,Железобетонные,1966.0,E,Отсутствует,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,3.0,9.0
9900000,1,55.724789,37.744738,39.0,18.9,9.0,Вторичка,2.7,Евроремонт,Во двор,Монолитный,Железобетонные,2018.0,A,Есть,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,4.0,24.0
6950000,1,55.517949,37.34956,37.0,18.0,7.0,Вторичка,2.6,Евроремонт,На улицу,Панельный,Железобетонные,2012.0,B,Есть,Есть,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,14.0,17.0
8500000,1,55.886968,37.613467,43.1,20.9,8.7,Вторичка,2.64,Косметический,Во двор,Панельный,Железобетонные,1981.0,A,Отсутствует,Отсутствует,Бетонные столбы,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,7.0,12.0
8300000,1,55.678230000000006,37.721211,35.0,20.0,10.0,Вторичка,2.7,Евроремонт,Во двор,Блочный,Железобетонные,1977.0,D,Есть,Отсутствует,Ленточный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,11.0,12.0
8800000,1,55.576661,37.668246,39.0,21.0,8.0,Вторичка,2.6,Евроремонт,Во двор,Блочный,Железобетонные,1982.0,E,Есть,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,10.0,12.0
11700000,1,55.818523,37.661275,40.0,21.6,9.4,Вторичка,2.7,Косметический,Во двор,Кирпичный,Железобетонные,1978.0,Не присвоен,Есть,Отсутствует,Бетонные столбы,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,6.0,11.0
8000000,1,55.660709,37.763342,35.7,18.5,9.0,Вторичка,2.64,Косметический,Во двор,Панельный,Железобетонные,1998.0,D,Есть,Есть,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,4.0,17.0
9500000,1,55.849337,37.416296,38.4,20.0,10.2,Вторичка,2.64,Евроремонт,На улицу и двор,Панельный,Железобетонные,1985.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,17.0,22.0
7600000,1,55.934795,37.55443,38.0,19.0,8.4,Вторичка,2.65,Косметический,На улицу,Панельный,Железобетонные,1995.0,D,Есть,Есть,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,7.0,17.0
7500000,1,55.49470600000001,37.553136,46.7,18.0,14.0,Вторичка,2.75,Евроремонт,Во двор,Монолитный,Железобетонные,2015.0,B,Есть,Есть,Свайный,Центральное,Индивидуальный тепловой пункт (ИТП),Закрытая с приготовлением горячей воды на ИТП,Центральное,Центральное,Отсутствует,Вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,6.0,18.0
11300000,1,55.709231,37.886447,52.0,31.0,9.0,Вторичка,2.7,Евроремонт,На улицу,Панельный,Железобетонные,2006.0,Не присвоен,Отсутствует,Отсутствует,Бетонные столбы,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,12.0,16.0
6999999,1,55.67160500000001,37.749229,29.3,18.0,5.5,Вторичка,2.64,Косметический,На улицу и двор,Кирпичный,Железобетонные,1961.0,B,Отсутствует,Есть,Ленточный,Центральное,Центральное,Квартирное (квартирный котел),Центральное,Центральное,Центральное,Приточная вентиляция,Пожарный кран,Наружные водостоки,1.0,5.0
